alloc!
Epoch 1, train_loss=832.9, val_loss=6171
Epoch 2, train_loss=736.4, val_loss=5451
Epoch 3, train_loss=646.5, val_loss=4789
Epoch 4, train_loss=565.6, val_loss=4187
Epoch 5, train_loss=493.6, val_loss=3650
Epoch 6, train_loss=432.8, val_loss=3177
Epoch 7, train_loss=378.6, val_loss=2776
Epoch 8, train_loss=334.4, val_loss=2445
Epoch 9, train_loss=298.2, val_loss=2181
Epoch 10, train_loss=270.3, val_loss=1979
Epoch 11, train_loss=248.9, val_loss=1829
Epoch 12, train_loss=233.9, val_loss=1719
Epoch 13, train_loss=222.8, val_loss=1640
Epoch 14, train_loss=214.6, val_loss=1580
Epoch 15, train_loss=208.2, val_loss=1534
Epoch 16, train_loss=203.3, val_loss=1495
Epoch 17, train_loss=198.5, val_loss=1461
Epoch 18, train_loss=194.7, val_loss=1429
Epoch 19, train_loss=191.2, val_loss=1399
Epoch 20, train_loss=187.9, val_loss=1371
Epoch 21, train_loss=184.6, val_loss=1345
Epoch 22, train_loss=181.5, val_loss=1321
Epoch 23, train_loss=178.8, val_loss=1299
Epoch 24, train_loss=176.1, val_loss=1277
Epoch 25, train_loss=173.5, val_loss=1257
Epoch 26, train_loss=171.1, val_loss=1239
Epoch 27, train_loss=168.8, val_loss=1221
Epoch 28, train_loss=166.6, val_loss=1204
Epoch 29, train_loss=164.4, val_loss=1188
Epoch 30, train_loss=162.3, val_loss=1173
Epoch 31, train_loss=160.4, val_loss=1158
Epoch 32, train_loss=158.3, val_loss=1144
Epoch 33, train_loss=156.4, val_loss=1130
Epoch 34, train_loss=154.4, val_loss=1118
Epoch 35, train_loss=152.7, val_loss=1105
Epoch 36, train_loss=150.9, val_loss=1093
Epoch 37, train_loss=149.1, val_loss=1081
Epoch 38, train_loss=147.5, val_loss=1069
Epoch 39, train_loss=145.8, val_loss=1058
Epoch 40, train_loss=144.1, val_loss=1047
Epoch 41, train_loss=142.7, val_loss=1036
Epoch 42, train_loss=141.1, val_loss=1026
Epoch 43, train_loss=139.6, val_loss=1016
Epoch 44, train_loss=138.2, val_loss=1006
Epoch 45, train_loss=136.7, val_loss=996.1
Epoch 46, train_loss=135.4, val_loss=986.8
Epoch 47, train_loss=134.1, val_loss=977.9
Epoch 48, train_loss=132.8, val_loss=968.5
Epoch 49, train_loss=131.6, val_loss=959.9
Epoch 50, train_loss=130.4, val_loss=951.7
Epoch 51, train_loss=129.3, val_loss=944.5
Epoch 52, train_loss=128, val_loss=936
Epoch 53, train_loss=127, val_loss=927.6
Epoch 54, train_loss=125.9, val_loss=919.6
Epoch 55, train_loss=124.9, val_loss=912.5
Epoch 56, train_loss=123.9, val_loss=905.4
Epoch 57, train_loss=123, val_loss=897.7
Epoch 58, train_loss=122.1, val_loss=891.1
Epoch 59, train_loss=121.2, val_loss=883.8
Epoch 60, train_loss=120.4, val_loss=877.5
Epoch 61, train_loss=119.5, val_loss=871.4
Epoch 62, train_loss=118.7, val_loss=865.2
Epoch 63, train_loss=117.9, val_loss=858.1
Epoch 64, train_loss=117.2, val_loss=852.2
Epoch 65, train_loss=116.4, val_loss=846.4
Epoch 66, train_loss=115.8, val_loss=839.9
Epoch 67, train_loss=115.1, val_loss=833.9
Epoch 68, train_loss=114.5, val_loss=827.9
Epoch 69, train_loss=113.8, val_loss=821.6
Epoch 70, train_loss=113.2, val_loss=816.1
Epoch 71, train_loss=112.6, val_loss=811.4
Epoch 72, train_loss=112, val_loss=804.8
Epoch 73, train_loss=111.5, val_loss=799.5
Epoch 74, train_loss=110.9, val_loss=793.8
Epoch 75, train_loss=110.5, val_loss=789.5
Epoch 76, train_loss=110, val_loss=784
Epoch 77, train_loss=109.5, val_loss=777.8
Epoch 78, train_loss=109.1, val_loss=773.6
Epoch 79, train_loss=108.6, val_loss=768.6
Epoch 80, train_loss=108.1, val_loss=763.7
Epoch 81, train_loss=107.7, val_loss=758.3
Epoch 82, train_loss=107.3, val_loss=755.2
Epoch 83, train_loss=106.9, val_loss=749.6
Epoch 84, train_loss=106.5, val_loss=745.4
Epoch 85, train_loss=106.2, val_loss=741.9
Epoch 86, train_loss=105.8, val_loss=737.6
Epoch 87, train_loss=105.5, val_loss=734
Epoch 88, train_loss=105.1, val_loss=729.3
Epoch 89, train_loss=104.8, val_loss=723.7
Epoch 90, train_loss=104.5, val_loss=719.9
Epoch 91, train_loss=104.2, val_loss=715.7
Epoch 92, train_loss=103.9, val_loss=713.1
Epoch 93, train_loss=103.6, val_loss=709.8
Epoch 94, train_loss=103.4, val_loss=707.1
Epoch 95, train_loss=103.1, val_loss=703.5
Epoch 96, train_loss=102.8, val_loss=701.1
Epoch 97, train_loss=102.6, val_loss=697.7
Epoch 98, train_loss=102.3, val_loss=694
Epoch 99, train_loss=102.1, val_loss=690.5
Epoch 100, train_loss=101.9, val_loss=686.9
Epoch 101, train_loss=101.7, val_loss=684.4
Epoch 102, train_loss=101.4, val_loss=681
Epoch 103, train_loss=101.2, val_loss=678.6
Epoch 104, train_loss=101, val_loss=675.1
Epoch 105, train_loss=100.8, val_loss=673.2
Epoch 106, train_loss=100.6, val_loss=672.2
Epoch 107, train_loss=100.4, val_loss=669.3
Epoch 108, train_loss=100.2, val_loss=666.1
Epoch 109, train_loss=100, val_loss=663
Epoch 110, train_loss=99.84, val_loss=661.2
Epoch 111, train_loss=99.66, val_loss=659.5
Epoch 112, train_loss=99.51, val_loss=658.1
Epoch 113, train_loss=99.32, val_loss=655
Epoch 114, train_loss=99.16, val_loss=652.9
Epoch 115, train_loss=98.99, val_loss=649.8
Epoch 116, train_loss=98.85, val_loss=648.7
Epoch 117, train_loss=98.71, val_loss=645.7
Epoch 118, train_loss=98.53, val_loss=644.5
Epoch 119, train_loss=98.37, val_loss=643.5
Epoch 120, train_loss=98.26, val_loss=642.5
Epoch 121, train_loss=98.09, val_loss=639.6
Epoch 122, train_loss=97.98, val_loss=636.5
Epoch 123, train_loss=97.82, val_loss=636.2
Epoch 124, train_loss=97.68, val_loss=635
Epoch 125, train_loss=97.56, val_loss=633.4
Epoch 126, train_loss=97.43, val_loss=632.1
Epoch 127, train_loss=97.29, val_loss=630.8
Epoch 128, train_loss=97.17, val_loss=630.4
Epoch 129, train_loss=97.04, val_loss=629
Epoch 130, train_loss=96.92, val_loss=627.3
Epoch 131, train_loss=96.79, val_loss=624.8
Epoch 132, train_loss=96.69, val_loss=622.7
Epoch 133, train_loss=96.57, val_loss=622.2
Epoch 134, train_loss=96.45, val_loss=621.7
Epoch 135, train_loss=96.35, val_loss=620.7
Epoch 136, train_loss=96.22, val_loss=618.5
Epoch 137, train_loss=96.11, val_loss=616.6
Epoch 138, train_loss=96, val_loss=616.4
Epoch 139, train_loss=95.93, val_loss=616.5
Epoch 140, train_loss=95.81, val_loss=615.7
Epoch 141, train_loss=95.67, val_loss=613.7
Epoch 142, train_loss=95.57, val_loss=612.3
Epoch 143, train_loss=95.46, val_loss=610.3
Epoch 144, train_loss=95.37, val_loss=608.9
Epoch 145, train_loss=95.27, val_loss=607.2
Epoch 146, train_loss=95.16, val_loss=607
Epoch 147, train_loss=95.08, val_loss=606
Epoch 148, train_loss=94.98, val_loss=605.8
Epoch 149, train_loss=94.88, val_loss=605.2
Epoch 150, train_loss=94.77, val_loss=605.7
Epoch 151, train_loss=94.68, val_loss=604.6
Epoch 152, train_loss=94.57, val_loss=603
Epoch 153, train_loss=94.48, val_loss=601.3
Epoch 154, train_loss=94.39, val_loss=600.8
Epoch 155, train_loss=94.29, val_loss=599.1
Epoch 156, train_loss=94.2, val_loss=598.5
Epoch 157, train_loss=94.12, val_loss=598.2
Epoch 158, train_loss=94.03, val_loss=598.2
Epoch 159, train_loss=93.92, val_loss=595.7
Epoch 160, train_loss=93.87, val_loss=596.3
Epoch 161, train_loss=93.75, val_loss=594.1
Epoch 162, train_loss=93.65, val_loss=594.2
Epoch 163, train_loss=93.56, val_loss=593.2
Epoch 164, train_loss=93.45, val_loss=593.1
Epoch 165, train_loss=93.36, val_loss=593.1
Epoch 166, train_loss=93.3, val_loss=593.4
Epoch 167, train_loss=93.2, val_loss=591.8
Epoch 168, train_loss=93.12, val_loss=590.2
Epoch 169, train_loss=93.01, val_loss=589.5
Epoch 170, train_loss=92.93, val_loss=588.9
Epoch 171, train_loss=92.86, val_loss=589.6
Epoch 172, train_loss=92.77, val_loss=589
Epoch 173, train_loss=92.65, val_loss=586.8
Epoch 174, train_loss=92.58, val_loss=586.1
Epoch 175, train_loss=92.48, val_loss=585.6
Epoch 176, train_loss=92.41, val_loss=584.5
Epoch 177, train_loss=92.33, val_loss=584
Epoch 178, train_loss=92.21, val_loss=584.2
Epoch 179, train_loss=92.14, val_loss=584.4
Epoch 180, train_loss=92.05, val_loss=583.4
Epoch 181, train_loss=91.97, val_loss=581.9
Epoch 182, train_loss=91.87, val_loss=582.5
Epoch 183, train_loss=91.81, val_loss=581.8
Epoch 184, train_loss=91.77, val_loss=579.2
Epoch 185, train_loss=91.61, val_loss=580.1
Epoch 186, train_loss=91.52, val_loss=579.9
Epoch 187, train_loss=91.47, val_loss=578
Epoch 188, train_loss=91.34, val_loss=578.1
Epoch 189, train_loss=91.26, val_loss=578.9
Epoch 190, train_loss=91.23, val_loss=580.1
Epoch 191, train_loss=91.1, val_loss=577.4
Epoch 192, train_loss=91.01, val_loss=575.3
Epoch 193, train_loss=90.95, val_loss=574.2
Epoch 194, train_loss=90.84, val_loss=575.6
Epoch 195, train_loss=90.75, val_loss=576.4
Epoch 196, train_loss=90.66, val_loss=575.3
Epoch 197, train_loss=90.57, val_loss=574.1
Epoch 198, train_loss=90.47, val_loss=572.7
Epoch 199, train_loss=90.39, val_loss=571.6
Epoch 200, train_loss=90.33, val_loss=569.5
Epoch 201, train_loss=90.24, val_loss=570.2
Epoch 202, train_loss=90.14, val_loss=569.8
Epoch 203, train_loss=90.13, val_loss=572.4
Epoch 204, train_loss=89.97, val_loss=572
Epoch 205, train_loss=89.9, val_loss=568.4
Epoch 206, train_loss=89.78, val_loss=567.9
Epoch 207, train_loss=89.74, val_loss=565.8
Epoch 208, train_loss=89.62, val_loss=565.5
Epoch 209, train_loss=89.51, val_loss=566.5
Epoch 210, train_loss=89.44, val_loss=569.4
Epoch 211, train_loss=89.37, val_loss=569.7
Epoch 212, train_loss=89.27, val_loss=566.6
Epoch 213, train_loss=89.16, val_loss=564.6
Epoch 214, train_loss=89.08, val_loss=564.4
Epoch 215, train_loss=89.04, val_loss=561.9
Epoch 216, train_loss=88.9, val_loss=562
Epoch 217, train_loss=88.8, val_loss=563.9
Epoch 218, train_loss=88.8, val_loss=566.4
Epoch 219, train_loss=88.66, val_loss=563.3
Epoch 220, train_loss=88.59, val_loss=559.9
Epoch 221, train_loss=88.49, val_loss=560.4
Epoch 222, train_loss=88.35, val_loss=559.5
Epoch 223, train_loss=88.3, val_loss=560.6
Epoch 224, train_loss=88.21, val_loss=558
Epoch 225, train_loss=88.09, val_loss=557.2
Epoch 226, train_loss=88.02, val_loss=559.1
Epoch 227, train_loss=87.91, val_loss=558.6
Epoch 228, train_loss=87.8, val_loss=557.1
Epoch 229, train_loss=87.71, val_loss=555.9
Epoch 230, train_loss=87.65, val_loss=555.4
Epoch 231, train_loss=87.53, val_loss=554.9
Epoch 232, train_loss=87.43, val_loss=554.4
Epoch 233, train_loss=87.34, val_loss=554.2
Epoch 234, train_loss=87.28, val_loss=554.8
Epoch 235, train_loss=87.17, val_loss=553.9
Epoch 236, train_loss=87.12, val_loss=550
Epoch 237, train_loss=86.98, val_loss=550.8
Epoch 238, train_loss=86.9, val_loss=550.7
Epoch 239, train_loss=86.79, val_loss=549.6
Epoch 240, train_loss=86.7, val_loss=550.9
Epoch 241, train_loss=86.6, val_loss=551.3
Epoch 242, train_loss=86.51, val_loss=550.5
Epoch 243, train_loss=86.39, val_loss=548.2
Epoch 244, train_loss=86.29, val_loss=547.3
Epoch 245, train_loss=86.2, val_loss=546.2
Epoch 246, train_loss=86.09, val_loss=545
Epoch 247, train_loss=85.98, val_loss=545.2
Epoch 248, train_loss=85.88, val_loss=545.3
Epoch 249, train_loss=85.8, val_loss=543.9
Epoch 250, train_loss=85.71, val_loss=543.1
Epoch 251, train_loss=85.59, val_loss=543.7
Epoch 252, train_loss=85.5, val_loss=541.9
Epoch 253, train_loss=85.4, val_loss=540.2
Epoch 254, train_loss=85.27, val_loss=540.8
Epoch 255, train_loss=85.24, val_loss=543.2
Epoch 256, train_loss=85.07, val_loss=540.5
Epoch 257, train_loss=85, val_loss=537.4
Epoch 258, train_loss=84.86, val_loss=537.9
Epoch 259, train_loss=84.72, val_loss=537.8
Epoch 260, train_loss=84.68, val_loss=537.2
Epoch 261, train_loss=84.51, val_loss=536.1
Epoch 262, train_loss=84.4, val_loss=534.9
Epoch 263, train_loss=84.3, val_loss=533.7
Epoch 264, train_loss=84.19, val_loss=532.4
Epoch 265, train_loss=84.07, val_loss=533
Epoch 266, train_loss=83.98, val_loss=534.3
Epoch 267, train_loss=83.85, val_loss=533.3
Epoch 268, train_loss=83.73, val_loss=529.9
Epoch 269, train_loss=83.61, val_loss=528.3
Epoch 270, train_loss=83.58, val_loss=527.1
Epoch 271, train_loss=83.42, val_loss=529.7
Epoch 272, train_loss=83.27, val_loss=527.8
Epoch 273, train_loss=83.12, val_loss=527.7
