alloc!
Epoch 132, train_loss=96.78, val_loss=681.7
Epoch 133, train_loss=96.74, val_loss=682.5
Epoch 134, train_loss=96.56, val_loss=681.1
Epoch 135, train_loss=96.42, val_loss=680
Epoch 136, train_loss=96.3, val_loss=679.4
Epoch 137, train_loss=96.2, val_loss=679.5
Epoch 138, train_loss=96.08, val_loss=678.5
Epoch 139, train_loss=95.95, val_loss=677.3
Epoch 140, train_loss=95.83, val_loss=676.7
Epoch 141, train_loss=95.73, val_loss=676.4
Epoch 142, train_loss=95.61, val_loss=675.8
Epoch 143, train_loss=95.53, val_loss=674.8
Epoch 144, train_loss=95.43, val_loss=674.1
Epoch 145, train_loss=95.3, val_loss=674.6
Epoch 146, train_loss=95.24, val_loss=674.6
Epoch 147, train_loss=95.13, val_loss=674.2
Epoch 148, train_loss=95, val_loss=673.2
Epoch 149, train_loss=94.87, val_loss=670.8
Epoch 150, train_loss=94.85, val_loss=669.4
Epoch 151, train_loss=94.71, val_loss=669.9
Epoch 152, train_loss=94.55, val_loss=669.7
Epoch 153, train_loss=94.46, val_loss=669.8
Epoch 154, train_loss=94.34, val_loss=670
Epoch 155, train_loss=94.29, val_loss=668.7
Epoch 156, train_loss=94.17, val_loss=668.5
Epoch 157, train_loss=94.05, val_loss=668.2
Epoch 158, train_loss=93.99, val_loss=666.7
Epoch 159, train_loss=93.85, val_loss=665.9
Epoch 160, train_loss=93.78, val_loss=665.2
Epoch 161, train_loss=93.66, val_loss=665.4
Epoch 162, train_loss=93.57, val_loss=665.2
Epoch 163, train_loss=93.48, val_loss=665
Epoch 164, train_loss=93.41, val_loss=664
Epoch 165, train_loss=93.31, val_loss=663.7
Epoch 166, train_loss=93.19, val_loss=662.7
Epoch 167, train_loss=93.15, val_loss=661.7
Epoch 168, train_loss=93.05, val_loss=662
Epoch 169, train_loss=92.94, val_loss=661.4
Epoch 170, train_loss=92.86, val_loss=660.3
Epoch 171, train_loss=92.75, val_loss=660.5
Epoch 172, train_loss=92.67, val_loss=659.6
Epoch 173, train_loss=92.56, val_loss=659.6
Epoch 174, train_loss=92.48, val_loss=659.1
Epoch 175, train_loss=92.41, val_loss=658.4
Epoch 176, train_loss=92.32, val_loss=658.5
Epoch 177, train_loss=92.23, val_loss=658.1
Epoch 178, train_loss=92.2, val_loss=658.1
Epoch 179, train_loss=92.11, val_loss=656.5
Epoch 180, train_loss=91.98, val_loss=655.9
Epoch 181, train_loss=91.92, val_loss=655.4
Epoch 182, train_loss=91.82, val_loss=655.2
Epoch 183, train_loss=91.79, val_loss=656.4
Epoch 184, train_loss=91.67, val_loss=655.9
Epoch 185, train_loss=91.63, val_loss=654.1
Epoch 186, train_loss=91.5, val_loss=654
Epoch 187, train_loss=91.48, val_loss=654.2
Epoch 188, train_loss=91.38, val_loss=652.5
Epoch 189, train_loss=91.38, val_loss=653.1
Epoch 190, train_loss=91.22, val_loss=651.7
Epoch 191, train_loss=91.17, val_loss=651
Epoch 192, train_loss=91.08, val_loss=651.8
Epoch 193, train_loss=90.95, val_loss=651.1
Epoch 194, train_loss=90.89, val_loss=650.9
Epoch 195, train_loss=90.85, val_loss=650.8
Epoch 196, train_loss=90.8, val_loss=649
Epoch 197, train_loss=90.7, val_loss=648.5
Epoch 198, train_loss=90.62, val_loss=649.6
Epoch 199, train_loss=90.59, val_loss=650.1
Epoch 200, train_loss=90.48, val_loss=648.3
Epoch 201, train_loss=90.4, val_loss=647.2
Epoch 202, train_loss=90.33, val_loss=646.9
