alloc!
Epoch 1, train_loss=306.8, val_loss=2398
Epoch 2, train_loss=299.3, val_loss=2337
Epoch 3, train_loss=292.3, val_loss=2282
Epoch 4, train_loss=286.2, val_loss=2232
Epoch 5, train_loss=280.6, val_loss=2188
Epoch 6, train_loss=275.4, val_loss=2148
Epoch 7, train_loss=271.4, val_loss=2112
Epoch 8, train_loss=267.1, val_loss=2080
Epoch 9, train_loss=263.7, val_loss=2051
Epoch 10, train_loss=260.4, val_loss=2025
Epoch 11, train_loss=257.9, val_loss=2001
Epoch 12, train_loss=255.2, val_loss=1980
Epoch 13, train_loss=253.1, val_loss=1959
Epoch 14, train_loss=250.9, val_loss=1941
Epoch 15, train_loss=248.9, val_loss=1925
Epoch 16, train_loss=247.2, val_loss=1910
Epoch 17, train_loss=245.9, val_loss=1895
Epoch 18, train_loss=244.2, val_loss=1882
Epoch 19, train_loss=243, val_loss=1870
Epoch 20, train_loss=241.6, val_loss=1858
Epoch 21, train_loss=240.6, val_loss=1847
Epoch 22, train_loss=239.5, val_loss=1838
Epoch 23, train_loss=238.5, val_loss=1828
Epoch 24, train_loss=237.7, val_loss=1820
Epoch 25, train_loss=236.9, val_loss=1811
Epoch 26, train_loss=236, val_loss=1804
Epoch 27, train_loss=235.5, val_loss=1797
Epoch 28, train_loss=234.8, val_loss=1791
Epoch 29, train_loss=234.3, val_loss=1785
Epoch 30, train_loss=233.7, val_loss=1780
Epoch 31, train_loss=233.3, val_loss=1775
Epoch 32, train_loss=232.9, val_loss=1770
Epoch 33, train_loss=232.5, val_loss=1766
Epoch 34, train_loss=232.2, val_loss=1763
Epoch 35, train_loss=231.8, val_loss=1759
Epoch 36, train_loss=231.5, val_loss=1756
Epoch 37, train_loss=231.3, val_loss=1753
Epoch 38, train_loss=231, val_loss=1750
Epoch 39, train_loss=230.8, val_loss=1747
Epoch 40, train_loss=230.5, val_loss=1744
Epoch 41, train_loss=230.3, val_loss=1741
Epoch 42, train_loss=230, val_loss=1739
Epoch 43, train_loss=229.7, val_loss=1736
Epoch 44, train_loss=229.4, val_loss=1732
Epoch 45, train_loss=229, val_loss=1729
Epoch 46, train_loss=228.4, val_loss=1725
Epoch 47, train_loss=227.8, val_loss=1721
Epoch 48, train_loss=227, val_loss=1716
Epoch 49, train_loss=226.1, val_loss=1710
Epoch 50, train_loss=224.8, val_loss=1704
Epoch 51, train_loss=223.4, val_loss=1696
Epoch 52, train_loss=221.6, val_loss=1688
Epoch 53, train_loss=220, val_loss=1677
Epoch 54, train_loss=217.8, val_loss=1666
Epoch 55, train_loss=215.8, val_loss=1655
Epoch 56, train_loss=213.7, val_loss=1646
Epoch 57, train_loss=211.4, val_loss=1634
Epoch 58, train_loss=209.2, val_loss=1622
Epoch 59, train_loss=207, val_loss=1614
Epoch 60, train_loss=205.1, val_loss=1605
Epoch 61, train_loss=203, val_loss=1595
Epoch 62, train_loss=200.7, val_loss=1591
Epoch 63, train_loss=199, val_loss=1583
Epoch 64, train_loss=197.1, val_loss=1575
Epoch 65, train_loss=195.3, val_loss=1566
Epoch 66, train_loss=193.5, val_loss=1565
Epoch 67, train_loss=192.2, val_loss=1567
Epoch 68, train_loss=190.5, val_loss=1551
Epoch 69, train_loss=189.1, val_loss=1543
Epoch 70, train_loss=188.2, val_loss=1548
Epoch 71, train_loss=186.4, val_loss=1533
Epoch 72, train_loss=185.1, val_loss=1528
Epoch 73, train_loss=184.1, val_loss=1536
Epoch 74, train_loss=182.7, val_loss=1520
Epoch 75, train_loss=181.6, val_loss=1517
Epoch 76, train_loss=180.9, val_loss=1508
Epoch 77, train_loss=179.7, val_loss=1520
Epoch 78, train_loss=179, val_loss=1516
Epoch 79, train_loss=178.2, val_loss=1495
Epoch 80, train_loss=177.1, val_loss=1495
Epoch 81, train_loss=176.6, val_loss=1513
Epoch 82, train_loss=175.3, val_loss=1497
Epoch 83, train_loss=174.4, val_loss=1485
Epoch 84, train_loss=173.7, val_loss=1492
Epoch 85, train_loss=173, val_loss=1485
Epoch 86, train_loss=172.2, val_loss=1490
Epoch 87, train_loss=171.4, val_loss=1484
Epoch 88, train_loss=170.5, val_loss=1476
Epoch 89, train_loss=170.1, val_loss=1477
Epoch 90, train_loss=169.4, val_loss=1470
Epoch 91, train_loss=168.7, val_loss=1472
Epoch 92, train_loss=168, val_loss=1472
Epoch 93, train_loss=167.5, val_loss=1470
Epoch 94, train_loss=166.7, val_loss=1459
Epoch 95, train_loss=166.1, val_loss=1454
Epoch 96, train_loss=165.4, val_loss=1462
Epoch 97, train_loss=164.7, val_loss=1453
Epoch 98, train_loss=164, val_loss=1452
Epoch 99, train_loss=163.4, val_loss=1448
Epoch 100, train_loss=162.6, val_loss=1443
Epoch 101, train_loss=162.2, val_loss=1435
Epoch 102, train_loss=161.8, val_loss=1439
Epoch 103, train_loss=161, val_loss=1437
Epoch 104, train_loss=160.4, val_loss=1426
Epoch 105, train_loss=160, val_loss=1424
Epoch 106, train_loss=159.5, val_loss=1422
Epoch 107, train_loss=158.9, val_loss=1428
Epoch 108, train_loss=158.5, val_loss=1417
Epoch 109, train_loss=158, val_loss=1414
Epoch 110, train_loss=157.8, val_loss=1409
Epoch 111, train_loss=157.2, val_loss=1417
Epoch 112, train_loss=156.8, val_loss=1411
Epoch 113, train_loss=156.3, val_loss=1402
Epoch 114, train_loss=156.4, val_loss=1395
Epoch 115, train_loss=155.6, val_loss=1407
Epoch 116, train_loss=155.4, val_loss=1404
Epoch 117, train_loss=154.8, val_loss=1392
Epoch 118, train_loss=154.8, val_loss=1386
Epoch 119, train_loss=154.2, val_loss=1397
Epoch 120, train_loss=154.3, val_loss=1398
Epoch 121, train_loss=153.4, val_loss=1382
Epoch 122, train_loss=153.6, val_loss=1376
Epoch 123, train_loss=153, val_loss=1382
Epoch 124, train_loss=153.3, val_loss=1396
Epoch 125, train_loss=152.5, val_loss=1376
Epoch 126, train_loss=152.1, val_loss=1373
Epoch 127, train_loss=152, val_loss=1370
Epoch 128, train_loss=151.7, val_loss=1376
Epoch 129, train_loss=151.3, val_loss=1375
Epoch 130, train_loss=151.7, val_loss=1366
Epoch 131, train_loss=151, val_loss=1371
Epoch 132, train_loss=150.7, val_loss=1368
Epoch 133, train_loss=150.5, val_loss=1367
Epoch 134, train_loss=150.4, val_loss=1359
Epoch 135, train_loss=150.1, val_loss=1360
Epoch 136, train_loss=149.8, val_loss=1362
Epoch 137, train_loss=149.7, val_loss=1364
Epoch 138, train_loss=149.6, val_loss=1359
Epoch 139, train_loss=150.2, val_loss=1349
Epoch 140, train_loss=149.7, val_loss=1360
Epoch 141, train_loss=149.1, val_loss=1357
Epoch 142, train_loss=148.8, val_loss=1351
Epoch 143, train_loss=148.7, val_loss=1350
Epoch 144, train_loss=148.5, val_loss=1347
Epoch 145, train_loss=148.4, val_loss=1348
Epoch 146, train_loss=148.4, val_loss=1345
Epoch 147, train_loss=148, val_loss=1352
Epoch 148, train_loss=148, val_loss=1346
Epoch 149, train_loss=147.9, val_loss=1347
Epoch 150, train_loss=148.1, val_loss=1338
Epoch 151, train_loss=147.5, val_loss=1342
Epoch 152, train_loss=148, val_loss=1353
Epoch 153, train_loss=147.4, val_loss=1341
Epoch 154, train_loss=147.1, val_loss=1333
Epoch 155, train_loss=147.6, val_loss=1336
Epoch 156, train_loss=147.3, val_loss=1335
Epoch 157, train_loss=146.8, val_loss=1338
Epoch 158, train_loss=147, val_loss=1344
Epoch 159, train_loss=146.6, val_loss=1331
Epoch 160, train_loss=146.5, val_loss=1332
Epoch 161, train_loss=146.3, val_loss=1333
Epoch 162, train_loss=146.1, val_loss=1330
Epoch 163, train_loss=146.5, val_loss=1334
Epoch 164, train_loss=146, val_loss=1326
Epoch 165, train_loss=146, val_loss=1327
Epoch 166, train_loss=145.8, val_loss=1332
Epoch 167, train_loss=145.6, val_loss=1328
Epoch 168, train_loss=145.5, val_loss=1325
Epoch 169, train_loss=145.5, val_loss=1326
Epoch 170, train_loss=145.3, val_loss=1325
Epoch 171, train_loss=145.2, val_loss=1324
Epoch 172, train_loss=145.2, val_loss=1326
Epoch 173, train_loss=145.3, val_loss=1326
Epoch 174, train_loss=144.9, val_loss=1318
Epoch 175, train_loss=145.1, val_loss=1317
Epoch 176, train_loss=144.7, val_loss=1322
Epoch 177, train_loss=145.2, val_loss=1333
Epoch 178, train_loss=144.7, val_loss=1319
Epoch 179, train_loss=144.8, val_loss=1313
Epoch 180, train_loss=145.3, val_loss=1318
Epoch 181, train_loss=144.5, val_loss=1323
Epoch 182, train_loss=144.4, val_loss=1315
Epoch 183, train_loss=144.5, val_loss=1311
Epoch 184, train_loss=144, val_loss=1316
Epoch 185, train_loss=144.2, val_loss=1322
Epoch 186, train_loss=143.9, val_loss=1314
Epoch 187, train_loss=144.7, val_loss=1308
Epoch 188, train_loss=144.4, val_loss=1318
Epoch 189, train_loss=143.9, val_loss=1317
Epoch 190, train_loss=143.6, val_loss=1310
Epoch 191, train_loss=143.9, val_loss=1305
Epoch 192, train_loss=143.6, val_loss=1307
Epoch 193, train_loss=143.6, val_loss=1318
Epoch 194, train_loss=143.6, val_loss=1311
Epoch 195, train_loss=143.1, val_loss=1304
Epoch 196, train_loss=143.4, val_loss=1304
Epoch 197, train_loss=143, val_loss=1310
Epoch 198, train_loss=143.8, val_loss=1317
Epoch 199, train_loss=143.6, val_loss=1301
Epoch 200, train_loss=143.2, val_loss=1302
Epoch 201, train_loss=142.7, val_loss=1306
Epoch 202, train_loss=142.7, val_loss=1304
Epoch 203, train_loss=142.9, val_loss=1307
Epoch 204, train_loss=142.6, val_loss=1299
Epoch 205, train_loss=142.6, val_loss=1300
Epoch 206, train_loss=142.6, val_loss=1305
Epoch 207, train_loss=142.4, val_loss=1299
Epoch 208, train_loss=142.3, val_loss=1298
Epoch 209, train_loss=142.3, val_loss=1301
Epoch 210, train_loss=142, val_loss=1298
Epoch 211, train_loss=142.1, val_loss=1299
Epoch 212, train_loss=141.8, val_loss=1296
Epoch 213, train_loss=141.8, val_loss=1297
Epoch 214, train_loss=142.1, val_loss=1292
Epoch 215, train_loss=141.7, val_loss=1296
Epoch 216, train_loss=141.6, val_loss=1299
Epoch 217, train_loss=141.6, val_loss=1294
Epoch 218, train_loss=141.4, val_loss=1294
Epoch 219, train_loss=141.4, val_loss=1293
Epoch 220, train_loss=141.4, val_loss=1296
Epoch 221, train_loss=141.2, val_loss=1290
Epoch 222, train_loss=141.1, val_loss=1289
Epoch 223, train_loss=141.1, val_loss=1292
Epoch 224, train_loss=141, val_loss=1290
Epoch 225, train_loss=141.3, val_loss=1293
Epoch 226, train_loss=141.4, val_loss=1284
Epoch 227, train_loss=141, val_loss=1286
Epoch 228, train_loss=140.5, val_loss=1291
Epoch 229, train_loss=140.9, val_loss=1291
Epoch 230, train_loss=140.3, val_loss=1282
Epoch 231, train_loss=140.6, val_loss=1281
Epoch 232, train_loss=140.3, val_loss=1282
Epoch 233, train_loss=140, val_loss=1285
Epoch 234, train_loss=140.1, val_loss=1280
Epoch 235, train_loss=139.9, val_loss=1279
Epoch 236, train_loss=139.8, val_loss=1277
Epoch 237, train_loss=139.7, val_loss=1274
Epoch 238, train_loss=139.6, val_loss=1275
Epoch 239, train_loss=139.4, val_loss=1272
Epoch 240, train_loss=139.3, val_loss=1270
Epoch 241, train_loss=139.2, val_loss=1268
Epoch 242, train_loss=139, val_loss=1267
Epoch 243, train_loss=138.8, val_loss=1266
Epoch 244, train_loss=138.8, val_loss=1261
Epoch 245, train_loss=138.6, val_loss=1260
Epoch 246, train_loss=138.3, val_loss=1257
Epoch 247, train_loss=138.2, val_loss=1253
Epoch 248, train_loss=138.1, val_loss=1247
Epoch 249, train_loss=137.8, val_loss=1246
Epoch 250, train_loss=138.2, val_loss=1245
Epoch 251, train_loss=137.2, val_loss=1235
Epoch 252, train_loss=137, val_loss=1229
Epoch 253, train_loss=136.6, val_loss=1228
Epoch 254, train_loss=136.4, val_loss=1218
Epoch 255, train_loss=135.7, val_loss=1212
Epoch 256, train_loss=135.5, val_loss=1206
Epoch 257, train_loss=134.8, val_loss=1196
Epoch 258, train_loss=134.3, val_loss=1187
Epoch 259, train_loss=133.6, val_loss=1176
Epoch 260, train_loss=133.5, val_loss=1163
Epoch 261, train_loss=132.1, val_loss=1150
Epoch 262, train_loss=131, val_loss=1133
Epoch 263, train_loss=129.3, val_loss=1111
Epoch 264, train_loss=127.2, val_loss=1085
Epoch 265, train_loss=124.9, val_loss=1054
Epoch 266, train_loss=122.5, val_loss=1026
Epoch 267, train_loss=119.4, val_loss=995.7
Epoch 268, train_loss=117.5, val_loss=971.2
Epoch 269, train_loss=115.8, val_loss=953.6
Epoch 270, train_loss=114.8, val_loss=936.2
Epoch 271, train_loss=113.9, val_loss=924
Epoch 272, train_loss=113, val_loss=913.7
Epoch 273, train_loss=112.4, val_loss=906.1
Epoch 274, train_loss=111.9, val_loss=899
Epoch 275, train_loss=111.3, val_loss=894.8
Epoch 276, train_loss=111, val_loss=885.4
Epoch 277, train_loss=110.5, val_loss=879.5
Epoch 278, train_loss=110.2, val_loss=874.8
Epoch 279, train_loss=109.8, val_loss=865.9
Epoch 280, train_loss=109.2, val_loss=862.7
Epoch 281, train_loss=108.8, val_loss=855.7
Epoch 282, train_loss=108.5, val_loss=848.7
Epoch 283, train_loss=108.3, val_loss=846.2
Epoch 284, train_loss=107.5, val_loss=837.3
Epoch 285, train_loss=107.3, val_loss=834
Epoch 286, train_loss=106.8, val_loss=830.9
Epoch 287, train_loss=106.4, val_loss=823.2
Epoch 288, train_loss=106.1, val_loss=820
Epoch 289, train_loss=105.8, val_loss=817.9
Epoch 290, train_loss=105.5, val_loss=810.2
Epoch 291, train_loss=105.1, val_loss=807.6
Epoch 292, train_loss=104.8, val_loss=804.6
Epoch 293, train_loss=104.4, val_loss=799
Epoch 294, train_loss=104.2, val_loss=796.4
Epoch 295, train_loss=103.8, val_loss=793.9
Epoch 296, train_loss=103.8, val_loss=792.1
Epoch 297, train_loss=103.3, val_loss=786.6
Epoch 298, train_loss=103.3, val_loss=787.1
Epoch 299, train_loss=102.8, val_loss=781.1
Epoch 300, train_loss=102.5, val_loss=779.8
Epoch 301, train_loss=102.3, val_loss=777.5
Epoch 302, train_loss=101.9, val_loss=772.5
Epoch 303, train_loss=101.8, val_loss=770.6
Epoch 304, train_loss=101.5, val_loss=773.8
Epoch 305, train_loss=101.5, val_loss=765.7
Epoch 306, train_loss=101.2, val_loss=767.7
Epoch 307, train_loss=100.8, val_loss=761.3
Epoch 308, train_loss=100.6, val_loss=760.4
Epoch 309, train_loss=100.3, val_loss=758.9
Epoch 310, train_loss=100.1, val_loss=755.1
Epoch 311, train_loss=99.83, val_loss=756.2
Epoch 312, train_loss=99.71, val_loss=752
Epoch 313, train_loss=99.52, val_loss=750.4
Epoch 314, train_loss=99.14, val_loss=751
Epoch 315, train_loss=99.07, val_loss=745.9
Epoch 316, train_loss=98.76, val_loss=745.3
Epoch 317, train_loss=98.58, val_loss=742.7
Epoch 318, train_loss=98.43, val_loss=742.3
Epoch 319, train_loss=98.24, val_loss=738.5
Epoch 320, train_loss=97.87, val_loss=740.1
Epoch 321, train_loss=97.97, val_loss=735.5
Epoch 322, train_loss=97.92, val_loss=734.4
Epoch 323, train_loss=97.61, val_loss=736.4
Epoch 324, train_loss=97.45, val_loss=730.8
Epoch 325, train_loss=96.92, val_loss=735.2
Epoch 326, train_loss=97.15, val_loss=728.1
Epoch 327, train_loss=96.67, val_loss=726.2
Epoch 328, train_loss=96.6, val_loss=728.1
Epoch 329, train_loss=96.18, val_loss=723.4
Epoch 330, train_loss=96.09, val_loss=724.5
Epoch 331, train_loss=96.02, val_loss=721.4
Epoch 332, train_loss=95.92, val_loss=719.6
Epoch 333, train_loss=95.43, val_loss=722.3
Epoch 334, train_loss=95.37, val_loss=716.7
Epoch 335, train_loss=95.1, val_loss=717.8
Epoch 336, train_loss=94.98, val_loss=714.1
Epoch 337, train_loss=94.94, val_loss=715.3
Epoch 338, train_loss=94.62, val_loss=711.8
Epoch 339, train_loss=94.34, val_loss=709.9
Epoch 340, train_loss=94.26, val_loss=710.4
Epoch 341, train_loss=94.03, val_loss=707.7
Epoch 342, train_loss=93.99, val_loss=708.9
Epoch 343, train_loss=93.67, val_loss=706.9
Epoch 344, train_loss=93.56, val_loss=704.1
Epoch 345, train_loss=93.4, val_loss=706.2
Epoch 346, train_loss=93.23, val_loss=701.6
Epoch 347, train_loss=93.2, val_loss=699.9
Epoch 348, train_loss=92.91, val_loss=700
Epoch 349, train_loss=92.64, val_loss=700
Epoch 350, train_loss=93.29, val_loss=698.3
Epoch 351, train_loss=92.76, val_loss=699.4
Epoch 352, train_loss=92.04, val_loss=694.5
Epoch 353, train_loss=91.82, val_loss=694.2
Epoch 354, train_loss=91.71, val_loss=693.8
Epoch 355, train_loss=91.46, val_loss=692.3
Epoch 356, train_loss=91.31, val_loss=691
Epoch 357, train_loss=91.1, val_loss=690.9
Epoch 358, train_loss=90.91, val_loss=687.8
Epoch 359, train_loss=90.88, val_loss=691.2
Epoch 360, train_loss=91.18, val_loss=685.8
Epoch 361, train_loss=91.04, val_loss=686.1
Epoch 362, train_loss=90.51, val_loss=684
Epoch 363, train_loss=90.24, val_loss=683.1
Epoch 364, train_loss=90.34, val_loss=688.3
Epoch 365, train_loss=90.13, val_loss=681
Epoch 366, train_loss=89.58, val_loss=686
Epoch 367, train_loss=89.59, val_loss=678.8
Epoch 368, train_loss=89.42, val_loss=679.8
Epoch 369, train_loss=89.08, val_loss=676
Epoch 370, train_loss=88.83, val_loss=678.3
Epoch 371, train_loss=88.82, val_loss=675.5
Epoch 372, train_loss=88.89, val_loss=695
Epoch 373, train_loss=90.23, val_loss=690
Epoch 374, train_loss=89.95, val_loss=706.2
Epoch 375, train_loss=89.64, val_loss=679.3
Epoch 376, train_loss=88.99, val_loss=682
Epoch 377, train_loss=89.17, val_loss=669.7
Epoch 378, train_loss=88.27, val_loss=669.6
Epoch 379, train_loss=88.15, val_loss=671.6
Epoch 380, train_loss=88.02, val_loss=669.4
Epoch 381, train_loss=87.71, val_loss=675.6
Epoch 382, train_loss=87.8, val_loss=667.3
Epoch 383, train_loss=87.15, val_loss=668.9
Epoch 384, train_loss=86.91, val_loss=663.5
Epoch 385, train_loss=86.58, val_loss=663.7
Epoch 386, train_loss=86.39, val_loss=662.1
Epoch 387, train_loss=86.28, val_loss=663.9
Epoch 388, train_loss=86.49, val_loss=661.4
Epoch 389, train_loss=86.49, val_loss=660.3
Epoch 390, train_loss=86.25, val_loss=664.6
