alloc!
Epoch 135, train_loss=167.8, val_loss=1796
Epoch 136, train_loss=167.6, val_loss=1796
Epoch 137, train_loss=167.6, val_loss=1796
Epoch 138, train_loss=167.4, val_loss=1796
Epoch 139, train_loss=167.4, val_loss=1796
Epoch 140, train_loss=167.3, val_loss=1795
Epoch 141, train_loss=167.2, val_loss=1795
Epoch 142, train_loss=167, val_loss=1794
Epoch 143, train_loss=167, val_loss=1794
Epoch 144, train_loss=167, val_loss=1793
Epoch 145, train_loss=166.8, val_loss=1793
Epoch 146, train_loss=166.7, val_loss=1793
Epoch 147, train_loss=166.6, val_loss=1793
Epoch 148, train_loss=166.6, val_loss=1793
Epoch 149, train_loss=166.6, val_loss=1793
Epoch 150, train_loss=166.4, val_loss=1793
Epoch 151, train_loss=166.3, val_loss=1792
Epoch 152, train_loss=166.3, val_loss=1792
Epoch 153, train_loss=166.2, val_loss=1792
Epoch 154, train_loss=166.1, val_loss=1792
Epoch 155, train_loss=166, val_loss=1792
Epoch 156, train_loss=165.9, val_loss=1792
Epoch 157, train_loss=165.9, val_loss=1792
Epoch 158, train_loss=165.8, val_loss=1791
Epoch 159, train_loss=165.7, val_loss=1792
Epoch 160, train_loss=165.6, val_loss=1792
Epoch 161, train_loss=165.6, val_loss=1791
Epoch 162, train_loss=165.5, val_loss=1791
Epoch 163, train_loss=165.5, val_loss=1791
Epoch 164, train_loss=165.4, val_loss=1791
Epoch 165, train_loss=165.3, val_loss=1791
Epoch 166, train_loss=165.2, val_loss=1791
Epoch 167, train_loss=165.2, val_loss=1791
Epoch 168, train_loss=165.2, val_loss=1790
Epoch 169, train_loss=165.1, val_loss=1791
Epoch 170, train_loss=165, val_loss=1791
Epoch 171, train_loss=164.9, val_loss=1791
Epoch 172, train_loss=164.8, val_loss=1790
Epoch 173, train_loss=164.9, val_loss=1790
Epoch 174, train_loss=164.7, val_loss=1789
Epoch 175, train_loss=164.7, val_loss=1790
Epoch 176, train_loss=164.6, val_loss=1790
Epoch 177, train_loss=164.6, val_loss=1790
Epoch 178, train_loss=164.5, val_loss=1790
Epoch 179, train_loss=164.4, val_loss=1790
Epoch 180, train_loss=164.4, val_loss=1789
Epoch 181, train_loss=164.3, val_loss=1789
Epoch 182, train_loss=164.3, val_loss=1789
Epoch 183, train_loss=164.2, val_loss=1789
Epoch 184, train_loss=164.1, val_loss=1789
Epoch 185, train_loss=164.1, val_loss=1789
Epoch 186, train_loss=164.1, val_loss=1788
Epoch 187, train_loss=164, val_loss=1789
